기관명,번호,남은기간,제목,사업명,AI관련여부,품질인증관련여부,관련키워드,공고유형,신청시작일,신청종료일,마감Dday,신청기간,작성자,작성일자,상세링크
NIA,29641,,[사전규격공개] 5G-A 테스트베드 고도화를 위한 과제 세부기획 [첨부파일],네트워크전략팀,N,N,,기타,,,,,하연주,2026.07.10,"doBbsFView('78336','29641','16010100','29641');return false;"
NIA,29640,,[조달입찰공고] 글로벌 AI 협력 방안 수립 지원 [첨부파일],재무관리팀,Y,N,AI,입찰(용역)공고,,,,,정하윤,2026.07.10,"doBbsFView('78336','29640','16010100','29640');return false;"
NIA,29639,,[입찰공고] 디지털역량(지원)센터 기반의 디지털취약계층 지원 방안 수립 [첨부파일],재무관리팀,N,N,,입찰(용역)공고,,,,,정하윤,2026.07.09,"doBbsFView('78336','29639','16010100','29639');return false;"
KEIT,I22474,종료,2026년도 제3차 조선해양산업기술개발사업(AI완전자율운항선박기술개발) 신규지원 대상과제 공고,IRIS 공고,Y,N,AI,R&D지원사업,2026-06-15,2026-07-14,마감,2026-06-15 09:00 ~ 2026-07-14 18:00,,2026-06-15,https://srome.keit.re.kr/srome/biz/perform/opnnPrpsl/retrieveTaskAnncmView.do?prgmId=XPG201040000&ancmId=I22474&ancmYy=2026
KEIT,I22395,종료,2026년도 제2차 국가표준기술력향상사업 신규지원 대상과제 공고,IRIS 공고,N,Y,표준,R&D지원사업,2026-06-19,2026-07-13,마감,2026-06-19 09:00 ~ 2026-07-13 18:00,,2026-06-12,https://srome.keit.re.kr/srome/biz/perform/opnnPrpsl/retrieveTaskAnncmView.do?prgmId=XPG201040000&ancmId=I22395&ancmYy=2026
KEIT,I22434,종료,2026년도 제2차 조선해양산업기술개발사업 신규지원 대상과제 공고,IRIS 공고,N,N,,R&D지원사업,2026-06-12,2026-07-13,마감,2026-06-12 09:00 ~ 2026-07-13 18:00,,2026-06-12,https://srome.keit.re.kr/srome/biz/perform/opnnPrpsl/retrieveTaskAnncmView.do?prgmId=XPG201040000&ancmId=I22434&ancmYy=2026
KEIT,I22194,종료,2026년도 K-온디바이스 AI반도체 기술개발사업 신규 지원대상 연구개발과제 공고,IRIS 공고,Y,N,AI,R&D지원사업,2026-06-18,2026-07-10,마감,2026-06-18 09:00 ~ 2026-07-10 18:00,,2026-06-11,https://srome.keit.re.kr/srome/biz/perform/opnnPrpsl/retrieveTaskAnncmView.do?prgmId=XPG201040000&ancmId=I22194&ancmYy=2026
KEIT,I21894,종료,2026년도 제2차 제품안전관리기술개발및실증사업 신규지원 대상과제 공고,IRIS 공고,N,N,,R&D지원사업,2026-05-29,2026-06-30,마감,2026-05-29 09:00 ~ 2026-06-30 18:00,,2026-05-29,https://srome.keit.re.kr/srome/biz/perform/opnnPrpsl/retrieveTaskAnncmView.do?prgmId=XPG201040000&ancmId=I21894&ancmYy=2026
KEIT,I21937,종료,2026년도 자동차산업기술개발 2차 신규지원 대상과제 공고,IRIS 공고,N,N,,R&D지원사업,2026-06-05,2026-06-29,마감,2026-06-05 09:00 ~ 2026-06-29 18:00,,2026-06-09,https://srome.keit.re.kr/srome/biz/perform/opnnPrpsl/retrieveTaskAnncmView.do?prgmId=XPG201040000&ancmId=I21937&ancmYy=2026
KEIT,I21975,종료,2026년도 제2차 바이오헬스분야 연구개발사업 신규지원 대상과제 통합 공고,IRIS 공고,N,N,,R&D지원사업,2026-06-08,2026-06-29,마감,2026-06-08 09:00 ~ 2026-06-29 18:00,,2026-06-08,https://srome.keit.re.kr/srome/biz/perform/opnnPrpsl/retrieveTaskAnncmView.do?prgmId=XPG201040000&ancmId=I21975&ancmYy=2026
